GeneSymbol	OAM091ctrl	OAM093ctrl	OAM094ctrl	OAM091stim	OAM093stim	OAM094stim
LINC00379	0	0	0	0	0	0
LINC00380	0	0	0	0	0	3
LINC00381	0	0	0	1	0	1
LINC00395	0	0	0	0	0	0
LINC00397	0	0	0	0	0	2
LINC00398	0	0	0	3	0	0
LINC00408	0	0	0	0	0	0
LINC00410	0	0	0	0	0	0
LINC00417	0	0	2	0	0	0
LINC00421	9	0	0	0	0	2
LINC00423	3	0	5	0	0	0
LINC00424	0	0	0	0	0	0
LINC00426	0	0	8	2	0	0
LINC00433	0	3	0	0	0	0
LINC00441	0	0	0	0	5	0
LINC00442	2	0	2	0	0	0
LINC00443	0	0	0	0	0	0
LINC00446	0	0	0	0	0	0
LINC00452	0	2	0	0	0	0
LINC00457	0	0	0	0	0	0
LINC00458	0	0	0	0	0	0
LINC00460	0	0	1	0	0	0
LINC00461	0	0	0	2	0	0
LINC00462	4	0	7	3	2	0
LINC00466	0	0	0	0	3	2
LINC00467	0	0	1	0	0	0
LINC00469	9	0	4	12	0	0
LINC00470	0	6	0	3	0	0
LINC00471	0	1	5	0	0	6
LINC00472	0	0	0	3	1	2
LINC00473	0	1	0	0	0	0
LINC00474	0	0	0	0	0	0
LINC00475	1	0	0	2	0	0
LINC00476	1	0	12	1	14	25
LINC00477	0	0	0	0	0	3
LINC00478	0	0	0	0	0	0
LINC00479	0	0	0	1	0	49
LINC00482	9	172	10	0	1	3
LINC00483	1	0	6	2	2	0
LINC00485	0	0	0	0	0	0
LINC00486	0	0	3	0	2	0
LINC00487	0	2	0	0	0	0
LINC00488	0	0	0	2	0	1
LINC00489	0	0	0	0	0	1
LINC00491	0	0	0	0	0	3
LINC00492	0	0	0	0	0	0
LINC00493	0	0	0	13	320	0
LINC00494	6	3	0	0	5	3
LINC00499	0	0	0	0	0	0
LINC00501	3	0	8	3	0	0
LINC00502	0	0	0	0	0	0
LINC00506	1	0	1	0	3	0
LINC00507	3	0	0	0	2	0
LINC00511	3	0	0	4	0	6
LINC00514	4	5	18	4	3	5
LINC00515	0	0	0	0	0	0
LINC00518	3	0	0	0	3	2
LINC00520	0	0	2	0	0	8
LINC00521	6	3	0	2	9	1
LINC00523	3	2	3	3	0	0
LINC00525	3	0	0	4	0	3
LINC00526	0	3	0	3	0	0
LINC00528	233	12	27	5	171	70
LINC00534	0	0	0	1	0	0
LINC00535	0	3	1	0	1	0
LINC00536	0	0	0	0	0	1
LINC00538	2	9	0	0	0	0
LINC00539	1	0	0	0	0	0
LINC00540	0	0	2	0	0	0
LINC00544	0	0	0	0	0	0
LINC00545	5	0	0	0	0	0
LINC00547	3	1	0	9	0	7
LINC00548	3	3	0	2	0	0
LINC00550	0	0	0	0	0	3
LINC00551	0	0	0	0	0	0
LINC00552	3	0	3	9	0	14
LINC00554	9	9	9	16	0	0
LINC00558	0	0	0	6	0	0
LINC00559	9	0	0	3	3	6
LINC00563	3	0	0	0	0	0
LINC00565	0	5	3	0	521	3
LINC00568	0	0	3	0	1	0
LINC00570	0	0	2	0	0	0
LINC00571	0	0	2	0	0	0
LINC00572	0	0	0	0	0	0
LINC00574	0	6	3	438	0	3
LINC00575	0	0	4	0	1	0
LINC00577	0	0	0	0	0	1
LINC00578	0	0	0	2	0	0
LINC00581	0	0	0	0	0	0
LINC00582	2	0	2	0	0	0
LINC00583	0	0	0	0	0	0
LINC00587	0	0	0	0	0	0
LINC00588	5	0	0	0	3	0
LINC00589	0	0	0	1	1	0
LINC00592	0	2	5	0	0	0
LINC00593	0	69	0	0	0	0
LINC00595	0	0	0	15	0	0
LINC00597	0	0	0	0	8	0
LINC00598	1	4	0	0	0	0
LINC00599	173	0	0	0	0	0
LINC00601	1	0	0	3	0	0
LINC00602	0	3	0	3	0	0
LINC00603	0	0	0	0	0	0
LINC00605	6	2	1	0	0	0
LINC00606	0	0	0	0	0	3
LINC00607	0	1	0	0	0	0
LINC00608	0	0	4	6	0	1
LINC00609	0	0	0	3	0	0
LINC00612	0	0	3	3	6	3
LINC00613	0	0	0	0	0	0
LINC00615	0	0	0	0	0	0
LINC00616	3	0	6	0	0	0
LINC00618	0	0	0	0	0	0
LINC00619	0	0	0	0	0	0
LINC00620	0	0	0	0	0	0
LINC00622	0	0	0	0	3	0
LINC00623	2	2	7	24	4	53
LINC00624	0	2	2	6	0	0
LINC00626	0	0	0	0	0	0
LINC00628	2	0	0	0	0	3
LINC00629	0	0	1	0	0	0
LINC00630	0	143	0	0	0	0
LINC00632	3	0	1	0	0	0
LINC00633	0	0	1	0	0	0
LINC00634	3	2	3	7	3	3
LINC00635	0	0	5	0	0	0
LINC00636	0	0	4	0	0	0
LINC00637	7	0	12	0	3	8
LINC00638	3	15	6	7	0	3
LINC00639	3	0	9	0	0	0
LINC00640	0	2	0	0	1	0
LINC00641	4	0	60	10	22	101
LINC00642	0	1	0	1	0	0
LINC00643	0	0	0	0	0	0
LINC00644	0	0	0	0	0	0
LINC00645	0	0	0	0	0	0
LINC00648	0	0	0	0	0	0
LINC00649	0	0	0	0	3	3
LINC00652	0	0	3	0	0	0
LINC00654	0	6	10	4	3	0
LINC00656	0	0	0	0	0	3
LINC00657	25	23	28	212	276	164
LINC00658	0	3	0	0	0	0
LINC00659	0	0	0	0	0	0
LINC00661	9	0	11	7	1	3
LINC00662	0	2	0	2	3	0
LINC00663	12	0	3	2	0	2
LINC00664	2	3	5	7	4	0
LINC00665	0	1	1	0	0	1
LINC00667	0	22	0	1	21	0
LINC00668	0	0	0	0	0	0
LINC00669	0	0	0	0	0	0
LINC00670	1	0	0	0	0	0
LINC00671	1	0	2	5	0	14
LINC00672	0	0	3	11	0	119
LINC00673	0	0	0	0	2	2
LINC00674	30	9	29	22	541	19
LINC00675	3	0	0	0	0	2
LINC00676	0	0	0	2	0	0
LINC00678	0	0	0	1	0	1
LINC00681	0	0	0	0	0	0
LINC00682	3	0	0	0	0	0
LINC00684	0	0	3	0	0	4
LINC00685	0	0	6	4	8	1
LINC00687	0	0	0	0	0	0
LINC00689	0	3	9	0	3	5
LINC00690	0	0	0	0	0	0
LINC00691	0	0	6	0	0	0
LINC00692	0	0	0	0	0	0
LINC00693	0	0	0	0	0	0
LINC00696	0	1	6	3	3	0
LINC00698	0	0	3	0	0	1
LINC00700	0	0	3	0	0	0
LINC00701	0	29	6	3	0	0
LINC00702	1	0	0	0	0	0
LINC00703	0	0	1	0	0	0
LINC00704	8	6	1	0	0	3
LINC00705	0	0	0	0	0	0
LINC00706	0	0	0	0	0	0
LINC00707	0	3	49	1	0	0
LINC00708	0	0	2	0	0	0
LINC00709	0	0	0	0	0	0
LINC00710	0	0	0	0	0	0
LINC00836	0	0	0	0	0	0
LINC00837	2	0	2	0	3	0
LINC00838	0	0	0	0	3	0
LINC00839	3	3	5	1	0	2
LINC00840	0	0	0	0	0	0
LINC00841	0	0	0	0	0	0
LINC00842	0	11	3	5	2	7
LINC00844	0	0	0	0	0	0
LINC00845	0	0	0	0	0	0
LINC00847	1	7	4	2	78	3
LINC00850	0	0	0	0	0	0
LINC00851	0	0	2	3	0	3
LINC00852	0	9	9	0	33	3
LINC00853	0	0	0	0	0	0
LINC00854	3	3	12	3	2	2
LINC00856	0	3	2	0	3	1
LINC00857	5	2	0	9	0	5
LINC00858	1	5	1	0	0	1
LINC00861	1	0	0	0	0	0
LINC00862	1	1	5	0	0	3
LINC00864	0	0	0	6	0	2
LINC00865	0	0	0	4	0	3
LINC00866	0	0	0	0	0	0
LINC00867	0	0	0	0	0	0
LINC00869	0	2	0	0	7	3
LINC00870	0	0	3	0	0	0
LINC00871	0	0	0	0	2	0
LINC00875	0	2	4	6	8	15
LINC00877	1	0	7	1	0	0
LINC00879	0	0	0	0	0	0
LINC00880	3	0	0	0	0	0
LINC00881	0	0	0	0	0	0
LINC00882	0	0	0	0	0	0
LINC00883	0	0	4	0	0	0
LINC00884	0	19	162	9	260	6
LINC00885	6	0	6	3	0	4
LINC00886	6	0	5	0	7	0
LINC00887	0	0	0	0	6	3
LINC00888	2	0	8	46	0	0
LINC00889	0	3	0	0	0	6
LINC00890	0	0	0	0	0	2
LINC00891	5	0	0	0	2	2
LINC00892	0	0	0	0	0	0
LINC00893	0	0	2	2	9	0
LINC00894	0	0	4	0	28	3
LINC00895	0	0	6	0	0	0
LINC00896	0	0	21	3	6	4
LINC00898	0	0	3	0	0	3
LINC00899	2	0	4	0	3	1
LINC00900	0	0	0	0	0	0
LINC00904	0	0	0	0	0	0
LINC00905	4	0	12	5	0	5
LINC00906	0	0	2	0	0	0
LINC00907	0	0	1	0	0	0
LINC00908	0	0	9	0	9	5
LINC00909	0	25	0	86	0	0
LINC00910	14	17	10	33	65	81
LINC00911	0	0	0	0	0	0
LINC00917	2	0	0	6	2	3
LINC00919	0	0	0	0	0	3
LINC00920	3	0	0	0	0	0
LINC00921	3	3	15	2	6	15
LINC00922	0	0	2	0	5	0
LINC00923	0	0	0	0	0	0
LINC00924	3	0	1	0	0	0
LINC00925	0	3	3	3	2	0
LINC00926	6	9	0	3	811	14
LINC00927	0	0	0	0	3	0
LINC00928	0	0	0	0	0	0
LINC00929	1	0	0	0	0	2
LINC00930	6	3	0	0	0	1
LINC00933	0	0	6	9	0	0
LINC00934	3	0	0	0	0	5
LINC00935	0	0	0	3	1	2
LINC00936	14	69	148	162	602	58
LINC00937	0	0	57	3	0	0
LINC00938	9	0	6	6	29	6
LINC00939	0	0	0	1	0	0
LINC00940	0	0	0	0	0	0
LINC00941	0	0	1	0	0	3
LINC00942	0	1	0	0	0	0
LINC00943	0	0	0	0	0	0
LINC00944	0	0	0	0	0	0
LINC00945	0	0	0	1	0	0
LINC00948	0	1	0	0	0	0
LINC00950	0	3	3	2	0	0
LINC00951	0	0	0	0	0	3
LINC00954	0	0	0	3	0	2
LINC00955	0	3	12	7	7	3
LINC00957	10	0	10	14	5	2
LINC00958	3	0	0	5	0	0
LINC00959	0	4	0	0	1	0
LINC00960	0	0	4	27	0	4
LINC00961	0	3	32	6	3	0
LINC00963	0	2	9	3	0	1
LINC00964	0	3	0	0	0	0
LINC00965	0	8	0	0	0	0
LINC00966	1	3	3	0	0	0
LINC00967	0	0	0	0	0	0
LINC00968	0	0	3	0	0	3
LINC00970	0	0	0	0	0	0
LINC00971	2	3	0	4	0	0
LINC00974	0	0	0	0	0	6
LINC00977	0	0	3	0	0	0
LINC00982	10	1	14	9	8	0
LINC00987	6	0	3	0	0	0
LINC00989	0	1	0	0	0	0
LINC00992	0	0	17	2	0	2
LINC00993	0	0	1	0	0	0
LINC00994	3	0	3	2	1	2
LINC00996	3	7	0	0	0	0
LINC00997	0	3	982	3	3	0
LINC00998	0	3	0	0	73	43
LINC00999	6	12	6	3	6	16
LINC01000	182	137	407	403	493	757
LINC01001	21	73	66	33	55	24
LINC01002	33	37	124	20	51	22
LINC01003	1	23	20	9	82	0
LINC01004	14	83	15	32	1144	7
LINC01005	3	2	3	0	0	0
LINC01006	0	0	0	0	0	0
LINC01007	0	1	2	0	0	3
LINC01010	0	0	0	0	6	0
LINC01011	3	3	1	8	0	7
LINC01012	5	0	5	2	1	0
LINC01013	0	0	0	0	0	0
LINC01014	0	2	0	0	0	0
LINC01015	7	3	0	0	0	4
LINC01016	0	0	0	0	0	0
LINC01018	0	0	5	0	0	4
LINC01019	19	0	2	0	0	2
LINC01020	0	0	0	0	0	0
LINC01021	0	0	0	0	0	0
LINC01023	0	0	0	0	0	0
LINC01024	3	0	2	0	8	2
LINC01028	0	0	0	0	3	0
LINC01029	0	0	0	0	0	0
LINC01030	0	0	0	0	0	0
LINC01056	0	0	0	0	0	0
LINC01057	6	2	0	0	0	1
LINC01060	0	0	0	0	0	0
LINC01061	3	21	38	6	3	12
LINC01069	0	0	0	0	0	0
LINC01070	0	0	0	0	0	0
LINC01071	0	0	0	0	0	0
LINC01080	0	0	0	0	0	0
LINC01081	4	0	0	0	1	0
LINC01082	0	0	0	0	0	0
LINC01085	0	0	0	0	0	0
LINC01087	1	0	3	3	6	0
LINC01088	0	0	0	0	1	0
LINC01089	10	3	3	0	98	13
LINC01091	0	0	0	0	0	0
LINC01093	0	1	0	9	114	0
LINC01094	0	0	3	3	0	0
LINC01095	0	0	0	0	0	0
LINC01096	3	0	0	3	0	0
LINC01097	0	0	0	0	0	0
LINC01098	0	0	2	0	0	0
LINC01099	11	0	0	1	0	0
LINC01100	0	0	3	1	0	2
LINC01101	3	0	2	3	0	0
LINC01102	0	0	0	0	0	0
LINC01103	0	0	0	0	0	0
LINC01104	3	3	0	5	0	6
LINC01105	3	3	0	0	0	3
LINC01106	6	6	2	0	31	5
LINC01107	0	3	0	0	0	0
LINC01108	0	0	0	0	3	2
LINC01111	0	0	0	0	0	0
LINC01114	0	0	0	0	3	0
LINC01115	0	0	3	0	0	0
LINC01116	0	2	0	0	0	0
LINC01118	1	0	2	0	2	0
LINC01119	3	0	0	0	1	0
LINC01120	3	0	0	3	6	3
LINC01121	0	0	0	3	0	0
LINC01122	0	0	0	6	0	4
LINC01123	7	3	2	3	0	7
LINC01124	3	3	6	0	0	0
LINC01125	0	0	0	0	0	3
LINC01126	0	3	6	1	3	0
LINC01127	0	0	0	0	0	0
LINC01128	2	20	8	0	9	6
LINC01132	3	0	14	0	0	3
LINC01133	0	0	0	0	0	0
LINC01134	6	3	6	0	3	0
LINC01135	0	0	0	0	0	0
LINC01136	3	0	3	10	15	0
LINC01137	3	3	4	264	402	12
LINC01138	0	2	2	3	8	11
LINC01139	0	0	0	261	0	0
LINC01140	0	4	6	0	0	2
LINC01141	0	0	10	0	6	0
LINC01142	0	0	0	0	0	0
LINC01144	0	3	3	15	3	6
LINC01146	0	0	0	0	1	0
LINC01152	0	0	0	0	0	0
LINC01155	1	0	3	0	6	3
LINC01156	0	0	0	2	0	0
LINC01158	0	0	0	0	0	1
LINC01159	1	1	27	0	3	3
LINC01160	1	9	10	0	4	2
LINC01164	0	0	0	0	0	0
LINC01168	1	3	21	3	0	6
LINC01169	1	1	2	3	0	0
LINC01176	2	0	0	1	14	0
LINC01180	2	0	3	0	3	1
LINC01184	0	0	1	1	0	3
LINC01185	0	3	3	0	2	4
LINC01186	0	0	0	0	0	0
LINC01187	0	0	0	0	0	0
LINC01189	0	0	0	0	0	0
LINC01191	0	0	0	0	0	0
LINC01192	2	0	1	0	25	0
LINC01193	0	0	0	0	3	0
LINC01194	0	0	1	0	2	4
LINC01197	0	0	0	0	0	0
LINC01203	0	0	0	0	0	0
LINC01204	0	0	1	0	0	0
LINC01205	0	0	0	3	0	0
LINC01206	0	0	3	0	0	0
LINC01207	0	0	0	0	0	9
LINC01208	0	0	0	0	0	0
LINC01209	0	0	3	3	0	2
LINC01210	0	0	0	1	6	0
LINC01212	1	0	0	6	0	3
LINC01213	0	0	0	0	0	0
LINC01214	0	0	0	0	0	0
LINC01215	3	3	3	0	32	0
LINC01216	0	0	0	0	0	0
LINC01220	5	2	1	0	0	4
LINC01222	0	0	0	3	0	0
LINC01225	0	0	0	2	1	0
LINC01226	3	9	9	6	9	0
LINC01227	0	0	0	0	0	0
LINC01230	3	3	0	0	0	2
LINC01232	0	0	0	4	0	0
LINC01233	1	0	0	0	0	0
LINC01234	0	0	0	3	0	0
LINC01237	0	0	0	1	0	0
LINC01239	0	0	0	0	0	1
LINC01242	0	0	3	0	0	0
LINC01247	0	0	0	0	0	2
LINC01248	0	0	1	0	0	0
LINC01249	0	1	0	6	0	0
LINC01250	0	2	12	0	0	0
LINC01251	0	0	0	0	0	0
LINC01252	7	3	0	0	0	0
LINC01254	2	3	7	3	0	6
LINC01255	0	0	0	1	0	0
LINGO1	0	3	0	0	6	3
LINGO2	0	0	0	0	3	0
LINGO3	21	0	6	11	5	0
LINGO4	0	0	3	0	0	3
LINS	0	0	6	5	0	0
LIPA	255	3	2	0	0	3
LIPC	0	1	3	0	0	0
LIPE	9	10	13	7	1	6
LIPE-AS1	1	6	3	3	1	0
LIPF	2	2	0	1	0	0
LIPG	2	3	6	5	9	11
LIPH	3	0	4	3	8	1
LIPI	0	1	0	3	0	0
LIPJ	0	0	0	2	0	0
LIPK	0	0	0	0	0	1
LIPM	0	0	0	0	0	1
LIPN	2	0	0	0	0	0
LIPT1	3	0	1	0	1	0
LIPT2	0	0	1	1	0	0
LITAF	230	116	716	455	3991	1028
LIX1	0	0	0	0	0	0
LIX1L	3	3	17	3	39	9
LKAAEAR1	1	0	0	4	0	6
LL22NC01-81G9.3	0	0	0	2	0	2
LLGL1	19	11	10	2	71	42
LLGL2	6	10	7	5	3	1
LLPH	0	151	3	43	106	11
LMAN1	0	101	6	3	17	0
LMAN1L	5	1	1	4	0	1
LMAN2	11	35	180	395	1183	304
LMAN2L	1	0	7	6	9	8
LMBR1	1	0	42	0	6	11
LMBR1L	1	18	12	7	1	4
LMBRD1	5	0	1	0	0	0
LMBRD2	3	0	5	0	189	0
LMCD1	0	0	0	0	0	5
LMCD1-AS1	0	0	2	2	3	0
LMF1	1	3	8	2	3	0
LMF2	8	18	67	8	227	75
LMLN	5	3	13	6	6	3
LMNA	8	8	4	4	436	42
LMNB1	1	12	12	1	78	35
LMNB2	17	24	3	8	3	80
LMO1	1	1	5	0	0	0
LMO2	0	63	7	0	0	5
LMO3	0	0	0	1	0	0
LMO4	3	2	264	12	0	378
LMO7	0	0	2	3	0	0
LMOD1	0	6	20	3	0	3
LMOD2	3	0	0	0	5	0
LMOD3	0	3	5	3	0	0
LMTK2	5	206	6	6	2	17
LMTK3	9	2	13	4	4	13
LMX1A	1	0	0	0	0	2
LMX1B	0	19	214	9	9	3
LNP1	0	2	0	3	0	0
LNPEP	2	1	1	0	0	28
LNX1	0	0	0	0	2	2
LNX1-AS1	0	0	3	0	0	0
LNX1-AS2	0	0	3	0	0	0
LNX2	3	0	0	0	0	40
LOC100093631	24	16	22	78	73	58
LOC100101148	0	7	3	0	0	5
LOC100126784	0	27	0	0	0	0
LOC100128006	3	0	6	0	3	0
LOC100128076	10	0	0	0	0	0
LOC100128164	0	0	1	0	0	0
LOC100128233	1	0	0	1	1	0
LOC100128288	0	0	6	6	3	0
LOC100128361	3	6	0	3	0	0
LOC100128398	1	0	9	49	1	0
LOC100128531	0	0	27	0	0	0
LOC100128568	0	0	2	0	2	0
LOC100128573	7	0	0	2	3	2
LOC100128593	3	3	6	3	6	1
LOC100128885	11	0	5	1	6	2
LOC100129034	31	2	10	69	644	0
LOC100129055	0	1	0	0	22	6
LOC100129083	7	0	5	0	0	0
LOC100129138	0	3	3	0	0	5
LOC100129148	0	0	0	0	0	6
LOC100129203	0	1	0	0	0	3
LOC100129216	0	0	0	0	0	0
LOC100129316	1	0	2	8	3	1
LOC100129361	3	9	831	28	178	437
LOC100129518	12	0	4	3	0	6
LOC100129520	0	0	3	0	0	0
LOC100129534	3	12	9	6	3	0
LOC100129550	39	0	3	11	0	6
LOC100129617	0	0	4	0	9	0
LOC100129636	0	0	0	0	0	0
LOC100129697	0	0	0	2	0	0
LOC100129722	0	9	6	0	4	2
LOC100129917	1	3	6	0	0	1
LOC100129924	0	0	0	2	3	0
LOC100129935	3	0	0	3	0	0
LOC100130075	0	0	3	9	0	0
LOC100130093	1	0	14	5	5	3
LOC100130238	0	12	5	2	3	0
LOC100130298	0	0	0	0	0	0
LOC100130301	0	0	2	0	0	0
LOC100130417	4	6	2	2	1	0
LOC100130452	0	0	0	0	0	0
LOC100130539	0	3	3	0	0	0
LOC100130673	0	0	0	0	0	0
LOC100130705	6	3	3	3	6	6
LOC100130744	6	2	1	3	3	10
LOC100130849	4	0	2	2	1	2
LOC100130872	3	1	9	6	9	0
LOC100130899	4	6	6	0	5	9
LOC100130964	0	0	0	0	0	0
LOC100130987	1	1	4	2	0	0
LOC100130992	8	12	278	25	39	49
LOC100131138	1	0	0	0	0	0
LOC100131257	0	6	12	9	3	24
LOC100131289	0	0	0	0	0	0
LOC100131303	0	3	6	0	3	6
LOC100131315	5	0	0	0	0	2
LOC100131347	6	9	8	0	2	0
LOC100131496	5	24	5	16	0	17
LOC100131564	3	0	0	0	0	2
LOC100131626	0	1	2	3	0	1
LOC100131635	0	0	0	0	2	0
LOC100131655	4	2	4	3	3	2
LOC100132111	0	0	0	0	0	0
LOC100132146	0	0	0	0	2	0
LOC100132174	9	0	5	2	3	0
LOC100132352	0	12	0	354	124	21
LOC100132354	6	0	0	8	0	0
LOC100132356	5	0	9	3	3	0
LOC100132735	3	0	0	0	1	0
LOC100132741	5	0	0	0	2	2
LOC100132781	0	0	0	6	0	0
LOC100132831	0	0	0	0	3	0
LOC100132891	8	4	0	74	53	55
LOC100133050	0	0	3	22	3	0
LOC100133091	9	33	9	18	12	396
LOC100133267	0	1	0	0	0	0
LOC100133315	0	0	0	0	0	1
LOC100133331	21	106	80	47	106	20
LOC100133445	81	71	27	101	503	5
LOC100133669	0	0	0	1	0	2
LOC100133920	9	6	13	0	3	5
LOC100133985	0	6	5	0	3	4
LOC100134317	0	0	2	0	0	2
LOC100134368	0	11	23	4	3	9
LOC100134391	46	0	1	1	0	0
LOC100134868	0	4	20	3	0	3
LOC100188947	0	0	1	0	0	0
LOC100190986	344	523	744	503	288	681
LOC100240728	0	0	0	0	0	0
LOC100240734	0	0	0	0	0	0
LOC100240735	0	0	3	0	0	0
LOC100268168	0	2	0	0	49	1
LOC100270746	0	0	0	0	0	0
LOC100270804	0	1	0	0	2	3
LOC100272216	14	5	45	0	6	84
LOC100272217	9	7	15	0	0	9
LOC100286922	0	0	0	0	0	0
LOC100287010	0	0	0	0	0	3
LOC100287015	3	1	11	6	0	0
LOC100287042	9	16	21	4	111	2
LOC100287072	3	1	0	0	0	7
LOC100287534	1	0	0	207	2	0
LOC100287592	2	0	0	0	0	0
LOC100287632	0	0	3	0	0	0
LOC100287704	0	0	2	0	3	0
LOC100287728	0	0	0	0	0	0
LOC100287834	0	0	2	0	3	0
LOC100287944	0	0	2	0	0	0
LOC100288069	23	7	6	2	63	6
LOC100288123	0	6	0	6	0	8
LOC100288162	13	14	8	27	76	16
LOC100288181	0	0	21	0	0	12
LOC100288255	0	0	0	0	0	1
LOC100288570	1	0	3	1	0	0
LOC100288637	41	0	0	5	0	3
LOC100288748	3	0	11	0	9	0
LOC100288778	8	50	11	243	115	84
LOC100288814	0	0	3	0	0	0
LOC100288842	0	0	0	0	3	2
LOC100288846	2	0	0	0	0	0
LOC100288911	3	0	0	0	3	0
LOC100288974	0	0	0	0	0	2
LOC100289092	0	0	2	0	1	0
LOC100289230	0	9	6	2	0	0
LOC100289333	0	0	0	0	0	0
LOC100289361	1	3	0	0	0	0
LOC100289473	0	0	0	0	0	0
LOC100289495	0	0	1	0	0	0
LOC100289511	69	0	166	31	3	22
LOC100289561	4	0	5	0	3	4
LOC100289656	0	0	0	0	0	1
LOC100289673	0	0	3	0	0	0
LOC100294145	0	3	323	0	0	6
LOC100294362	3	6	3	6	0	8
LOC100303749	0	0	0	3	0	0
LOC100335030	0	0	2	0	0	3
LOC100379224	0	3	1	394	0	1
LOC100420587	6	0	5	3	0	0
LOC100422212	0	0	0	0	0	2
LOC100422556	0	0	2	34	0	0
LOC100499194	1	0	0	0	6	0
LOC100499484	5	1	4	36	1	0
LOC100499484-C9ORF174	0	3	13	32	2	1
LOC100499489	3	51	3	42	0	0
LOC100500773	0	0	0	0	3	0
LOC100505515	0	0	0	0	0	0
LOC100505622	0	0	0	3	0	0
LOC100505625	6	6	6	3	3	12
LOC100505658	0	0	0	3	6	3
LOC100505811	0	0	0	0	0	3
LOC100505812	3	0	0	9	0	6
LOC100505817	0	0	0	0	0	0
LOC100505835	0	0	0	0	0	0
LOC100505841	0	0	0	0	0	0
LOC100505878	0	0	0	0	0	0
LOC100505887	0	0	0	0	0	0
LOC100505912	0	0	0	3	0	0
LOC100505942	6	0	8	0	5	1
LOC100505984	1	0	0	0	0	0
LOC100506022	6	3	16	0	3	0
LOC100506023	34	0	8	24	3	44
LOC100506082	0	0	0	0	1	2
LOC100506083	4	10	12	0	2	6
LOC100506100	6	0	2	0	0	0
LOC100506124	0	0	0	0	0	0
LOC100506127	5	2	3	4	3	3
LOC100506142	3	0	3	27	6	46
LOC100506188	1	0	0	0	0	0
LOC100506258	0	0	0	0	0	0
LOC100506271	0	0	0	3	0	0
LOC100506274	0	0	0	0	0	0
LOC100506281	0	0	6	1	2	0
LOC100506371	0	0	10	0	0	3
LOC100506384	79	0	3	0	0	0
LOC100506388	0	0	0	1	1	5
LOC100506403	0	0	0	0	0	0
LOC100506406	0	0	0	0	0	0
LOC100506422	0	3	4	0	0	0
LOC100506470	0	0	0	0	0	0
LOC100506472	15	4	12	6	0	63
LOC100506474	0	0	6	0	0	3
LOC100506497	0	0	3	0	0	0
LOC100506526	0	0	0	0	0	0
LOC100506548	6	0	0	4	0	2
LOC100506621	0	0	3	12	5	0
LOC100506639	0	6	10	0	0	11
LOC100506688	6	9	18	0	0	9
LOC100506710	0	0	6	0	29	3
LOC100506713	0	0	3	2	0	0
LOC100506714	0	1	4	0	3	9
LOC100506730	12	3	6	6	2	75
LOC100506746	0	0	1	7	2	0
LOC100506747	2	0	1	33	6	0
LOC100506790	0	1	0	0	0	0
LOC100506858	0	3	0	0	0	0
LOC100506860	3	0	0	2	89	3
LOC100506990	8	0	199	0	6	187
LOC100507156	7	3	9	8	1	9
LOC100507205	0	0	0	0	0	1
LOC100507217	6	17	6	8	26	86
LOC100507346	0	0	9	0	3	0
LOC100507351	30	0	3	0	2	704
LOC100507373	6	6	331	20	821	6
LOC100507384	0	0	3	0	0	0
LOC100507387	0	2	0	0	3	0
LOC100507424	0	0	1	0	0	1
LOC100507443	0	0	2	0	1	1
LOC100507462	1	3	3	3	0	0
LOC100507468	0	1	0	0	0	3
LOC100507472	3	0	6	0	0	0
LOC100507534	0	0	0	0	0	0
LOC100507547	0	0	0	0	1	3
LOC100507577	4	0	0	12	9	0
LOC100507600	1	0	9	0	0	6
LOC100507634	2	0	3	0	3	6
LOC100508046	18	23	11	15	8	14
LOC100616530	0	0	0	0	0	0
LOC100630918	3	0	3	21	17	3
LOC100630923	9	6	4	85	49	12
LOC100652736	0	1	0	0	6	0
LOC100652758	3	6	8	0	5	0
LOC100652768	7	0	0	65	0	4
LOC100652824	3	0	3	0	7	5
LOC100652931	0	0	0	0	0	0
LOC100653046	1	9	1	0	7	0
LOC100653515	0	2	18	199	2	3
LOC100862671	4	0	9	51	56	46
LOC100996249	0	0	0	0	0	1
LOC100996255	36	0	2	2	79	22
LOC100996342	2	0	6	1	4	4
LOC100996349	0	0	0	0	0	0
LOC100996385	6	1	0	2	0	0
LOC100996455	6	3	0	3	3	3
LOC100996634	0	0	0	0	0	0
LOC100996693	10	1	3	0	0	3
LOC100996758	0	0	15	0	0	0
LOC101054525	1	0	2	2	0	0
LOC101059948	2	3	6	0	2	1
LOC101060004	0	0	0	0	0	0
LOC101060524	3	9	9	6	9	71
LOC101241902	0	3	2	0	0	0
LOC101409256	0	3	0	0	0	0
LOC101448202	0	3	0	0	0	0
LOC101559451	0	2	1	0	0	1
LOC101593348	0	0	3	0	6	6
LOC101805491	0	0	0	0	0	0
LOC101926889	2	0	6	1	1	0
LOC101926905	0	0	0	0	0	2
LOC101926935	3	0	8	4	0	6
LOC101926940	0	0	0	0	0	0
LOC101926943	3	3	2	0	24	0
LOC101926960	0	0	0	0	0	0
LOC101926966	3	0	1	0	1	0
LOC101927023	0	0	0	0	0	0
LOC101927045	3	0	3	3	3	0
LOC101927051	14	2	2	0	7	0
LOC101927053	5	3	6	3	0	0
LOC101927069	0	0	0	0	3	3
LOC101927079	0	0	4	0	0	0
LOC101927124	1	0	3	0	0	0
LOC101927131	3	34	7	6	3	2
LOC101927143	4	0	6	0	0	3
